Model,Seed,Metric,ER,PR,HER2,experiment,round
finetuned_model,42,auc,0.8756950880444857,0.8426438341860708,0.7406118143459914,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True,st_PCA;True",20250225_180705
finetuned_model,42,balanced_accuracy,0.7528962001853567,0.7391145452646967,0.5421940928270043,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True,st_PCA;True",20250225_180705
finetuned_model,42,accuracy,0.8440366972477065,0.8211009174311926,0.7155963302752294,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True,st_PCA;True",20250226_134750
finetuned_model,42,auc,0.8718721037998145,0.845985172809857,0.7843881856540085,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True,st_PCA;True",20250226_134750
finetuned_model,42,balanced_accuracy,0.7457136237256718,0.7354599561449306,0.5660337552742616,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True,st_PCA;True",20250226_134750
finetuned_model,42,accuracy,0.8256880733944955,0.8073394495412844,0.7201834862385321,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True,st_PCA;True",20250226_035745
finetuned_model,42,auc,0.860982391102873,0.8408687480421843,0.7789029535864979,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True,st_PCA;True",20250226_035745
finetuned_model,42,balanced_accuracy,0.727062094531974,0.7208938080818628,0.5536919831223629,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True,st_PCA;True",20250226_035745
finetuned_model,42,accuracy,0.8348623853211009,0.8119266055045872,0.7201834862385321,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True,st_PCA;True",20250225_180303
finetuned_model,42,auc,0.8666589434661723,0.8413908322021509,0.7490506329113924,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True,st_PCA;True",20250225_180303
finetuned_model,42,balanced_accuracy,0.7330861909175161,0.7341025373290174,0.564029535864979,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True,st_PCA;True",20250225_180303
finetuned_model,42,accuracy,0.8256880733944955,0.8165137614678899,0.7431192660550459,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True,st_PCA;True",20250226_035305
finetuned_model,42,auc,0.8682808155699722,0.8472381747937766,0.7792194092827004,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True,st_PCA;True",20250226_035305
finetuned_model,42,balanced_accuracy,0.727062094531974,0.7372872507048136,0.5901898734177216,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True,st_PCA;True",20250226_035305
finetuned_model,42,accuracy,0.8119266055045872,0.7981651376146789,0.7247706422018348,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True,st_PCA;True",20250226_135145
finetuned_model,42,auc,0.8665430954587581,0.841704082698131,0.750632911392405,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True,st_PCA;True",20250226_135145
